GEOID,dist_type,store_rowid_p,dist,row,duration,mb_rank
13089021405,D4,118,30610.523316162224,2309,42.820299999999996,MB5
13089021409,D1,10,12282.600077179046,201,19.961716666666668,MB1
13089021409,D2,8,19184.65290981873,202,28.512966666666667,MB2
13089021409,D5,40,34990.519163630895,205,30.3854,MB3
13089021409,D4,54,27951.11350411873,204,35.74765,MB4
13089021409,D3,118,27763.644914935237,203,38.919200000000004,MB5
13089021410,D1,10,11090.243970681038,336,16.832383333333333,MB1
13089021410,D2,8,17971.303470626168,337,25.3836,MB2
13089021410,D3,54,26785.533364223516,338,32.61833333333333,MB3
13089021410,D5,9,36003.53817227582,340,35.72745,MB4
13089021410,D4,118,28498.934211367974,339,38.696616666666664,MB5
13089021411,D1,10,11028.57050562287,5021,21.22328333333333,MB1
13089021411,D2,8,16892.3885051094,5022,29.774549999999998,MB2
13089021411,D3,54,26751.727421403313,5023,37.00921666666667,MB3
13089021411,D5,9,35840.357151379474,5025,40.11835,MB4
13089021411,D4,118,30912.07528491269,5024,43.087466666666664,MB5
13089021412,D1,10,12160.752223448395,86,19.184733333333334,MB1
13089021412,D2,8,18280.662285892035,87,27.735966666666666,MB2
13089021412,D5,40,36261.78928941433,90,32.041016666666664,MB3
13089021412,D3,54,27911.52416350873,88,34.970666666666666,MB4
13089021412,D4,118,29852.18883550994,89,41.04893333333334,MB5
13089021415,D1,10,7800.707857226709,101,15.060083333333333,MB1
13089021415,D2,8,14150.409468429387,102,22.600649999999998,MB2
13089021415,D3,54,23536.42815394873,103,29.835383333333333,MB3
13089021415,D5,9,32652.456769387296,105,32.944516666666665,MB4
13089021415,D4,118,31518.125404877755,104,38.036500000000004,MB5
13089021416,D1,10,8936.3163840285,5026,17.733516666666667,MB1
13089021416,D2,8,15356.34576127645,5027,25.274099999999997,MB2
13089021416,D3,54,24686.641307511592,5028,32.508833333333335,MB3
13089021416,D5,9,33826.03531685188,5030,35.61795,MB4
13089021416,D4,118,30752.2337437878,5029,40.7099,MB5
13089021417,D1,10,8205.532404540103,106,15.0462,MB1
13089021417,D2,8,14979.113379336672,107,22.725683333333333,MB2
13089021417,D3,54,23953.53585746517,108,29.960433333333334,MB3
13089021417,D5,9,33126.07374911761,110,33.06955,MB4
13089021417,D4,118,30482.409114779046,109,38.16153333333333,MB5
13089021418,D1,10,10107.976542326407,1256,15.143766666666666,MB1
13089021418,D2,8,16890.845627856215,1257,23.69496666666667,MB2
13089021418,D3,54,25835.51391633892,1258,30.929716666666664,MB3
13089021418,D5,9,35032.336429945455,1260,34.03883333333333,MB4
13089021418,D4,118,29309.260298183046,1259,37.00801666666667,MB5
13089021419,D1,10,9381.842537877354,1266,17.888166666666667,MB1
13089021419,D2,8,16327.5237908617,1267,26.439416666666666,MB2
13089021419,D3,54,25094.875042089086,1268,33.67413333333334,MB3
13089021419,D5,9,34301.773965693756,1270,36.783249999999995,MB4
13089021419,D4,118,29384.066266153528,1269,42.03328333333333,MB5
13089021420,D1,10,9437.733476953548,4481,18.382749999999998,MB1
13089021420,D2,8,16031.578396266725,4482,26.06226666666667,MB2
13089021420,D3,54,25187.615573435112,4483,33.29698333333333,MB3
13089021420,D5,9,34354.44604025122,4485,36.4061,MB4
13089021420,D4,118,30114.04287722123,4484,41.594566666666665,MB5
13089021421,D1,10,10124.585229310222,1261,19.958066666666664,MB1
13089021421,D2,8,16667.738081729694,1262,27.637583333333335,MB2
13089021421,D3,54,25873.62505583241,1263,34.872283333333336,MB3
13089021421,D5,9,35042.20300967452,1265,37.98141666666667,MB4
13089021421,D4,118,29842.557492577434,1264,40.976366666666664,MB5
13089021502,D1,10,5910.895116891416,2696,15.266466666666668,MB1
13089021502,D2,8,13395.026872135648,2697,25.429566666666666,MB2
13089021502,D3,54,21598.303201826373,2698,32.66428333333333,MB3
13089021502,D5,9,30813.576491196356,2700,35.7734,MB4
13089021502,D4,118,30789.235480765143,2699,37.226283333333335,MB5
13089021503,D1,10,7193.916340775073,341,19.273933333333332,MB1
13089021503,D2,8,14870.071493509027,342,29.31253333333333,MB2
