URL,Field1_links
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/byron/5851,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/byron/22101
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/byron/5851,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/byron/16128
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/byron/5851,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/byron/13105
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/cairo/849,
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/24
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/16760
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/3698
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/6851
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/7631
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/10039
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/15254,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/calhoun/6122
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/camilla/20897,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/camilla/20897
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/camilla/20897,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/camilla/4026
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canon/23735,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canon/23735
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canon/23735,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canon/12139
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/23135,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/23135
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/23135,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/1280
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/23135,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/6740
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/23135,https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/canton/6891
https://www.dollargeneral.com/content/dollargeneral/en/store-directory/ga/carlton/18583,
