services,store_url,store_name,stradd,city,state,lat,long
Propane,https://www.familydollar.com/locations/ga/athens/20103/,FAMILY DOLLAR #103,335 North Avenue,Athens,GA,33.97496,-83.365301
Tobaco,https://www.familydollar.com/locations/ga/athens/31739/,FAMILY DOLLAR #11739,3870 Old Jefferson Road,Athens,GA,33.98938211,-83.42580285
Adult Beverage,https://www.familydollar.com/locations/ga/athens/31739/,FAMILY DOLLAR #11739,3870 Old Jefferson Road,Athens,GA,33.98938211,-83.42580285
Propane,https://www.familydollar.com/locations/ga/athens/31739/,FAMILY DOLLAR #11739,3870 Old Jefferson Road,Athens,GA,33.98938211,-83.42580285
Fresh Produce,https://www.familydollar.com/locations/ga/athens/31739/,FAMILY DOLLAR #11739,3870 Old Jefferson Road,Athens,GA,33.98938211,-83.42580285
Tobaco,https://www.familydollar.com/locations/ga/athens/32036/,FAMILY DOLLAR #12036,995 Winterville Rd,Athens,GA,33.9550048,-83.34404032
Adult Beverage,https://www.familydollar.com/locations/ga/athens/32036/,FAMILY DOLLAR #12036,995 Winterville Rd,Athens,GA,33.9550048,-83.34404032
Tobaco,https://www.familydollar.com/locations/ga/athens/23055/,FAMILY DOLLAR #3055,4060 Lexington Rd,Athens,GA,33.93645,-83.32262
Tobaco,https://www.familydollar.com/locations/ga/atlanta/30676/,FAMILY DOLLAR #10676,2001 James Jackson Pkwy Nw,Atlanta,GA,33.81051337,-84.47579464
Tobaco,https://www.familydollar.com/locations/ga/atlanta/30677/,FAMILY DOLLAR #10677,4472 Campbellton Road Sw,Atlanta,GA,33.69574463,-84.53451073
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/30677/,FAMILY DOLLAR #10677,4472 Campbellton Road Sw,Atlanta,GA,33.69574463,-84.53451073
Propane,https://www.familydollar.com/locations/ga/atlanta/30677/,FAMILY DOLLAR #10677,4472 Campbellton Road Sw,Atlanta,GA,33.69574463,-84.53451073
Tobaco,https://www.familydollar.com/locations/ga/atlanta/30761/,FAMILY DOLLAR #10761,226 Ralph David Abernathy Blvd,Atlanta,GA,33.73660892,-84.39558927
Tobaco,https://www.familydollar.com/locations/ga/atlanta/31425/,FAMILY DOLLAR #11425,1723 Lakewood Avenue Se,Atlanta,GA,33.70686408,-84.38051026
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/31425/,FAMILY DOLLAR #11425,1723 Lakewood Avenue Se,Atlanta,GA,33.70686408,-84.38051026
Propane,https://www.familydollar.com/locations/ga/atlanta/31425/,FAMILY DOLLAR #11425,1723 Lakewood Avenue Se,Atlanta,GA,33.70686408,-84.38051026
Tobaco,https://www.familydollar.com/locations/ga/atlanta/31891/,FAMILY DOLLAR #11891,2579 Gresham Road Se,Atlanta,GA,33.7130451,-84.31084609
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/31891/,FAMILY DOLLAR #11891,2579 Gresham Road Se,Atlanta,GA,33.7130451,-84.31084609
Tobaco,https://www.familydollar.com/locations/ga/atlanta/31892/,FAMILY DOLLAR #11892,2925 Headland Dr.,Atlanta,GA,33.69054124,-84.48409391
Tobaco,https://www.familydollar.com/locations/ga/atlanta/32070/,FAMILY DOLLAR #12070,1932 Metropolitan Pkwy,Atlanta,GA,33.7016258,-84.40765146
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/32070/,FAMILY DOLLAR #12070,1932 Metropolitan Pkwy,Atlanta,GA,33.7016258,-84.40765146
Tobaco,https://www.familydollar.com/locations/ga/atlanta/32123/,FAMILY DOLLAR #12123,1531 Campbellton Rd,Atlanta,GA,33.71335661,-84.43860282
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/32123/,FAMILY DOLLAR #12123,1531 Campbellton Rd,Atlanta,GA,33.71335661,-84.43860282
Tobaco,https://www.familydollar.com/locations/ga/atlanta/21469/,FAMILY DOLLAR #1469,1655 Memorial Drive Se,Atlanta,GA,33.747149,-84.333649
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/21469/,FAMILY DOLLAR #1469,1655 Memorial Drive Se,Atlanta,GA,33.747149,-84.333649
Propane,https://www.familydollar.com/locations/ga/atlanta/21469/,FAMILY DOLLAR #1469,1655 Memorial Drive Se,Atlanta,GA,33.747149,-84.333649
Tobaco,https://www.familydollar.com/locations/ga/atlanta/21728/,FAMILY DOLLAR #1728,1165 Ralph D Abernathy Blvd Sw,Atlanta,GA,33.739094,-84.425777
Tobaco,https://www.familydollar.com/locations/ga/atlanta/20231/,FAMILY DOLLAR #231,5403 Old National Highway,Atlanta,GA,33.60863706,-84.47196112
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/20231/,FAMILY DOLLAR #231,5403 Old National Highway,Atlanta,GA,33.60863706,-84.47196112
Propane,https://www.familydollar.com/locations/ga/atlanta/20231/,FAMILY DOLLAR #231,5403 Old National Highway,Atlanta,GA,33.60863706,-84.47196112
Tobaco,https://www.familydollar.com/locations/ga/atlanta/22349/,FAMILY DOLLAR #2349,3721b Campbellton Rd Sw,Atlanta,GA,33.6913,-84.510315
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/22349/,FAMILY DOLLAR #2349,3721b Campbellton Rd Sw,Atlanta,GA,33.6913,-84.510315
Tobaco,https://www.familydollar.com/locations/ga/atlanta/20235/,FAMILY DOLLAR #235,2178 Campbellton Rd Sw,Atlanta,GA,33.705162,-84.459492
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/20235/,FAMILY DOLLAR #235,2178 Campbellton Rd Sw,Atlanta,GA,33.705162,-84.459492
