GEOID,dist_type,store_rowid,row,duration,mb_rank
13089022007,D2,690,4337,5.119983333333334,MB2
13089022013,D1,198,1156,5.120216666666667,MB1
13135050747,D1,535,2781,5.1255,MB1
13121008204,D3,57,3978,5.130116666666667,MB1
13067031004,D3,695,2263,5.135316666666667,MB3
13135050758,D1,697,2741,5.1437,MB1
13121000400,D1,59,2421,5.148833333333333,MB1
13121007707,D1,56,3901,5.151333333333333,MB1
13089022005,D1,723,2316,5.159916666666667,MB2
13063040202,D1,217,4836,5.16315,MB1
13121008204,D1,51,3976,5.16815,MB2
13067031322,D2,545,1822,5.17045,MB1
13089023445,D1,305,1086,5.171166666666666,MB2
13089023438,D1,304,4676,5.172983333333334,MB1
13121001802,D1,59,3741,5.182483333333334,MB1
13121010521,D1,216,726,5.1936,MB1
13067030800,D1,570,2251,5.195016666666667,MB1
13121007810,D1,49,701,5.19955,MB1
13121011000,D1,52,2411,5.205616666666667,MB1
13089021405,D1,55,2306,5.21355,MB1
13121006701,D1,48,3941,5.220916666666667,MB1
13067030278,D1,488,2431,5.22775,MB1
13135050722,D1,697,2171,5.232566666666667,MB1
13067030242,D1,488,1331,5.2457666666666665,MB1
13067031417,D4,545,1494,5.248033333333334,MB3
13063040534,D2,659,3657,5.249483333333333,MB1
13089021415,D1,55,101,5.251666666666667,MB1
13121010218,D1,46,4146,5.256733333333333,MB1
13121004000,D1,47,2556,5.2576833333333335,MB1
13089023113,D1,690,216,5.257816666666667,MB1
13067031324,D1,545,1866,5.260316666666667,MB1
13063040416,D1,509,1906,5.266116666666666,MB1
13121010531,D1,58,4036,5.2808166666666665,MB1
13063040633,D1,651,4801,5.285566666666667,MB1
13121003900,D1,47,2576,5.3026333333333335,MB1
13089021916,D2,724,1107,5.30745,MB1
13089023327,D2,523,4682,5.310066666666667,MB2
13067031319,D1,62,1871,5.310733333333333,MB2
13089023506,D1,305,481,5.3215666666666666,MB1
13121006900,D1,54,4361,5.328016666666667,MB1
13121007808,D2,57,2542,5.33725,MB2
13089023111,D1,722,206,5.340316666666666,MB1
13135050332,D1,314,3096,5.342033333333333,MB1
13063040309,D2,596,4752,5.3457333333333334,MB2
13067031112,D1,695,2286,5.374233333333334,MB1
13067031320,D2,522,1817,5.374433333333333,MB2
13067031308,D1,545,2301,5.375116666666667,MB1
13067030363,D1,825,1721,5.381600000000001,MB1
13067030246,D1,488,4926,5.383066666666666,MB1
13121008602,D2,50,2667,5.390516666666667,MB2
13067030346,D1,825,1716,5.3982833333333335,MB1
13063040302,D1,381,4826,5.399533333333333,MB1
13135050218,D1,344,1951,5.410033333333333,MB1
13121004000,D2,57,2557,5.424016666666666,MB2
13067030111,D2,6,4897,5.436416666666667,MB1
13121007703,D1,56,441,5.456516666666667,MB1
13067031115,D2,568,2127,5.458266666666666,MB2
13089023217,D1,722,4606,5.462149999999999,MB1
13067031411,D1,567,2451,5.465433333333333,MB1
13067030246,D2,487,4927,5.466116666666666,MB2
13121005200,D1,54,2591,5.46885,MB1
13067030259,D1,488,1326,5.475333333333333,MB1
13089022001,D1,198,2311,5.49865,MB1
13067031412,D2,63,1742,5.513016666666667,MB1
